Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),absolute_accel,Activity,Position
2.309791667E-2,-6.51E-01,6.240604627E-1,-7.23E-01,1.155687471E0,Walking,Hand
3.306991667E-2,-6.93E-01,5.214710641E-1,-9.01E-01,1.250462024E0,Walking,Hand
4.304091666E-2,-4.07E-01,5.244180608E-1,-6.08E-01,9.004097515E-1,Walking,Hand
5.301291666E-2,-3.30E-01,5.916902769E-1,-1.13E-01,6.867743656E-1,Walking,Hand
6.298391666E-2,-2.11E-01,3.785364622E-1,4.411355835E-1,6.182792923E-1,Walking,Hand
7.295591666E-2,-2.47E-01,1.261279500E-1,6.321869230E-1,6.903010518E-1,Walking,Hand
8.292791666E-2,-3.95E-01,2.440569341E-2,6.508325243E-1,7.616550916E-1,Walking,Hand
9.289891666E-2,-5.83E-01,-1.05E-03,5.758454919E-1,8.195521230E-1,Walking,Hand
1.028709167E-1,-1.11E+00,-4.24E-02,3.914845365E-1,1.173239430E0,Walking,Hand
1.128419167E-1,-1.22E+00,7.399709880E-2,2.878824002E-1,1.259309395E0,Walking,Hand
1.228139167E-1,-6.16E-01,3.810133427E-1,7.899471402E-2,7.289392872E-1,Walking,Hand
1.327859167E-1,-2.05E-01,4.204475498E-1,-4.40E-03,4.677064298E-1,Walking,Hand
1.427569167E-1,-8.17E-03,2.029603636E-1,-6.88E-02,2.144621318E-1,Walking,Hand
1.527289167E-1,-6.87E-03,6.830132604E-2,-3.58E-01,3.643226478E-1,Walking,Hand
1.626999167E-1,-1.35E-01,9.640187502E-2,-5.13E-01,5.391870055E-1,Walking,Hand
1.726719167E-1,-2.27E-01,1.392771685E-1,-4.99E-01,5.656044562E-1,Walking,Hand
1.826439167E-1,-3.49E-01,2.187267959E-2,-5.40E-01,6.428621642E-1,Walking,Hand
1.926149167E-1,-2.90E-01,-3.33E-02,-6.85E-01,7.442762545E-1,Walking,Hand
2.025869167E-1,-1.46E-01,6.605599523E-3,-8.30E-01,8.431337897E-1,Walking,Hand
2.125579167E-1,-1.72E-01,-3.53E-02,-7.93E-01,8.117416445E-1,Walking,Hand
2.225299167E-1,-3.40E-01,-1.50E-01,-6.15E-01,7.184157061E-1,Walking,Hand
2.325009167E-1,-2.53E-01,-1.81E-01,-3.75E-01,4.873771344E-1,Walking,Hand
2.424729167E-1,-9.49E-02,-1.34E-01,-2.03E-01,2.614724625E-1,Walking,Hand
2.524449167E-1,1.739539348E-2,-1.31E-01,-6.33E-02,1.461889995E-1,Walking,Hand
2.624159167E-1,2.114828266E-3,-1.68E-01,1.622520483E-1,2.332702945E-1,Walking,Hand
2.723879167E-1,-1.16E-01,-1.64E-01,1.376381940E-1,2.431922915E-1,Walking,Hand
2.823589167E-1,-3.00E-01,-8.78E-02,1.625292063E-2,3.126519716E-1,Walking,Hand
2.923309167E-1,-4.26E-01,1.278727591E-2,1.491987240E-1,4.513572079E-1,Walking,Hand
3.023029167E-1,-4.36E-01,4.600004554E-2,3.522830486E-1,5.623709006E-1,Walking,Hand
3.122739167E-1,-4.03E-01,4.721626639E-2,4.940751046E-1,6.391569893E-1,Walking,Hand
3.222459167E-1,-4.05E-01,2.644871056E-2,4.579621160E-1,6.120951209E-1,Walking,Hand
3.322169167E-1,-3.44E-01,6.001932979E-2,3.817851752E-1,5.176325249E-1,Walking,Hand
3.421889167E-1,-2.58E-01,1.228429842E-1,1.936568588E-1,3.454693604E-1,Walking,Hand
3.521609167E-1,-2.52E-01,1.700650978E-1,-6.25E-04,3.039403870E-1,Walking,Hand
3.621319167E-1,-3.33E-01,2.039941514E-1,-1.48E-01,4.180215064E-1,Walking,Hand
3.721039167E-1,-4.22E-01,2.479687214E-1,-3.73E-01,6.153310373E-1,Walking,Hand
3.820749167E-1,-4.77E-01,3.018198234E-1,-4.28E-01,7.086111462E-1,Walking,Hand
3.920469167E-1,-4.66E-01,2.713552451E-1,-3.54E-01,6.452238477E-1,Walking,Hand
4.020189167E-1,-4.15E-01,2.369759560E-1,-3.09E-01,5.688386881E-1,Walking,Hand
4.119899167E-1,-3.86E-01,2.049191809E-1,-1.29E-01,4.559368043E-1,Walking,Hand
4.219619167E-1,-2.98E-01,1.734751940E-1,1.411377525E-1,3.726806269E-1,Walking,Hand
4.319329167E-1,-2.31E-01,1.322195792E-1,2.387342137E-1,3.577031662E-1,Walking,Hand
4.419049167E-1,-1.48E-01,1.319126004E-1,2.799939215E-1,3.431248576E-1,Walking,Hand
4.518769167E-1,-1.02E-01,1.006586480E-1,3.754350990E-1,4.019496978E-1,Walking,Hand
4.618479167E-1,-1.00E-01,4.457741797E-2,3.499178499E-1,3.666632378E-1,Walking,Hand
4.718199167E-1,-1.51E-02,-2.19E-02,2.700875688E-1,2.713896416E-1,Walking,Hand
4.817906250E-1,7.802307123E-2,-4.58E-02,1.946234035E-1,2.146222542E-1,Walking,Hand
4.917626250E-1,1.999940529E-1,-6.07E-02,7.671488464E-2,2.226437964E-1,Walking,Hand
5.017336250E-1,2.460543795E-1,-8.15E-02,-1.58E-01,3.037169575E-1,Walking,Hand
5.117056250E-1,1.749023897E-1,-6.64E-02,-3.21E-01,3.717715536E-1,Walking,Hand
5.216776250E-1,1.113371439E-1,-8.47E-02,-4.55E-01,4.761690914E-1,Walking,Hand
5.316486250E-1,4.502812866E-2,-8.37E-02,-5.25E-01,5.338531966E-1,Walking,Hand
5.416206250E-1,4.140724037E-3,-6.08E-02,-6.22E-01,6.249957725E-1,Walking,Hand
5.515916250E-1,-2.55E-02,-3.30E-02,-7.32E-01,7.329446146E-1,Walking,Hand
5.615636250E-1,-4.96E-02,-3.07E-02,-8.24E-01,8.262530103E-1,Walking,Hand
5.715356250E-1,-2.76E-02,-5.16E-02,-8.59E-01,8.611914367E-1,Walking,Hand
5.815066250E-1,1.187953040E-1,-5.07E-02,-7.67E-01,7.781574666E-1,Walking,Hand
5.914786250E-1,2.455951173E-1,-7.40E-02,-7.97E-01,8.375503921E-1,Walking,Hand
6.014496250E-1,3.232898491E-1,-8.30E-02,-7.19E-01,7.928519659E-1,Walking,Hand
6.114216250E-1,3.806568453E-1,-9.63E-02,-4.90E-01,6.281195432E-1,Walking,Hand
6.213936250E-1,3.537658660E-1,-9.21E-02,-3.37E-01,4.974160394E-1,Walking,Hand
6.313646250E-1,3.645184936E-1,-9.60E-02,-1.56E-01,4.077924093E-1,Walking,Hand
6.413366250E-1,4.176944980E-1,-1.16E-01,7.806091368E-2,4.404495694E-1,Walking,Hand
6.513076250E-1,4.286952668E-1,-1.22E-01,2.323408681E-1,5.025979130E-1,Walking,Hand
6.612796250E-1,3.675207830E-1,-1.50E-01,3.553925979E-1,5.328408894E-1,Walking,Hand
6.712516250E-1,3.621298329E-1,-1.75E-01,4.440334636E-1,5.991885275E-1,Walking,Hand
6.812226250E-1,3.616373877E-1,-1.61E-01,5.451750916E-1,6.736514309E-1,Walking,Hand
6.911946250E-1,3.456420735E-1,-1.39E-01,5.180247152E-1,6.380476221E-1,Walking,Hand
7.011656250E-1,3.275251701E-1,-1.44E-01,4.713270968E-1,5.916607290E-1,Walking,Hand
7.111376250E-1,3.471615090E-1,-1.81E-01,4.211053616E-1,5.749201131E-1,Walking,Hand
7.211086250E-1,3.393751374E-1,-2.15E-01,2.728041852E-1,4.858368899E-1,Walking,Hand
7.310806250E-1,3.458174534E-1,-2.49E-01,-2.59E-02,4.266941569E-1,Walking,Hand
7.410526250E-1,3.399526230E-1,-2.80E-01,-2.97E-01,5.311092217E-1,Walking,Hand
7.510236250E-1,3.595227421E-1,-3.37E-01,-5.41E-01,7.314824040E-1,Walking,Hand
7.609956250E-1,3.798295739E-1,-3.96E-01,-9.43E-01,1.090582336E0,Walking,Hand
7.709666250E-1,3.797366032E-1,-4.97E-01,-1.32E+00,1.459106340E0,Walking,Hand
7.809386250E-1,3.156187041E-1,-6.57E-01,-1.75E+00,1.891815432E0,Walking,Hand
7.909106250E-1,1.391608181E-1,-8.83E-01,-2.24E+00,2.409526502E0,Walking,Hand
8.008816250E-1,-1.85E-01,-1.12E+00,-2.70E+00,2.930838441E0,Walking,Hand
8.108536250E-1,-4.73E-01,-1.36E+00,-3.24E+00,3.549710209E0,Walking,Hand
8.208246250E-1,-6.46E-01,-1.53E+00,-3.80E+00,4.146241978E0,Walking,Hand
8.307966250E-1,-6.80E-01,-1.63E+00,-4.14E+00,4.503215563E0,Walking,Hand
8.407686250E-1,-7.13E-01,-1.64E+00,-4.47E+00,4.815002101E0,Walking,Hand
8.507396250E-1,-8.39E-01,-1.71E+00,-4.50E+00,4.886000786E0,Walking,Hand
8.607116250E-1,-7.67E-01,-1.88E+00,-4.06E+00,4.535457809E0,Walking,Hand
8.706826250E-1,-5.68E-01,-2.01E+00,-3.49E+00,4.073036202E0,Walking,Hand
8.806546250E-1,-7.37E-01,-2.02E+00,-2.84E+00,3.563202149E0,Walking,Hand
8.906256250E-1,-9.41E-01,-2.12E+00,-2.06E+00,3.099048479E0,Walking,Hand
